ags,name,bundesland,bundesland_id,bevoelkerung_total,bevoelkerung_maennlich,bevoelkerung_weiblich,minijobber_total,minijobber_maennlich,minijobber_weiblich,minijobber_total_prozent,minijobber_maennlich_prozent,minijobber_weiblich_prozent,bevoelkerung_ueber_65_jahre,bevoelkerung_unter_25_jahre,bevoelkerung_unter_35_jahre,bevoelkerung_unter_45_jahre,bevoelkerung_unter_55_jahre,bevoelkerung_unter_65_jahre,minijobber_ueber_65_jahre,minijobber_ueber_65_jahre_prozent,minijobber_unter_25_jahre,minijobber_unter_25_jahre_prozent,minijobber_unter_35_jahre,minijobber_unter_35_jahre_prozent,minijobber_unter_45_jahre,minijobber_unter_45_jahre_prozent,minijobber_unter_55_jahre,minijobber_unter_55_jahre_prozent,minijobber_unter_65_jahre,minijobber_unter_65_jahre_prozent
07111,Koblenz,Rheinland-Pfalz,07,112586,54391,58195,16238,6749,9489,14.4,12.4,16.3,24227.0,13875.0,17850.0,12905.0,16182.0,14195.0,2006,1.8,3812,3.4,2853,2.5,2168,1.9,2809,2.5,2590,2.3
07131,Ahrweiler,Rheinland-Pfalz,07,127770,62533,65237,14428,6053,8375,11.3,9.7,12.8,30566.0,13761.0,13107.0,13495.0,22367.0,18895.0,1875,1.5,3462,2.7,1882,1.5,1951,1.5,2925,2.3,2333,1.8
07132,Altenkirchen (Westerwald),Rheinland-Pfalz,07,129171,64024,65147,13612,5065,8547,10.5,7.9,13.1,27607.0,14724.0,14250.0,14423.0,21947.0,19093.0,1918,1.5,2020,1.6,1769,1.4,2062,1.6,3198,2.5,2645,2.0
07133,Bad Kreuznach,Rheinland-Pfalz,07,156821,76459,80362,14545,5562,8983,9.3,7.3,11.2,35088.0,16428.0,17283.0,17512.0,26622.0,23529.0,2024,1.3,2210,1.4,1921,1.2,2259,1.4,3225,2.1,2906,1.9
07134,Birkenfeld,Rheinland-Pfalz,07,80615,39898,40717,7565,2826,4739,9.4,7.1,11.6,19079.0,8266.0,8918.0,8456.0,13261.0,12974.0,1244,1.5,1038,1.3,974,1.2,1021,1.3,1671,2.1,1617,2.0
07135,Cochem-Zell,Rheinland-Pfalz,07,62391,31294,31097,7668,2853,4815,12.3,9.1,15.5,14495.0,6719.0,6539.0,6633.0,10870.0,9484.0,1057,1.7,1616,2.6,827,1.3,1002,1.6,1680,2.7,1486,2.4
07137,Mayen-Koblenz,Rheinland-Pfalz,07,211925,104476,107449,24208,9800,14408,11.4,9.4,13.4,44708.0,22599.0,23962.0,24511.0,36625.0,31830.0,2867,1.4,6721,3.2,2979,1.4,3052,1.4,4658,2.2,3931,1.9
07138,Neuwied,Rheinland-Pfalz,07,180655,88745,91910,16211,6277,9934,9.0,7.1,10.8,39254.0,20364.0,19375.0,19806.0,30932.0,26644.0,2168,1.2,2620,1.5,2184,1.2,2492,1.4,3729,2.1,3018,1.7
07140,Rhein-Hunsrück-Kreis,Rheinland-Pfalz,07,102529,50945,51584,11051,4439,6612,10.8,8.7,12.8,22223.0,11072.0,11203.0,11526.0,17577.0,15825.0,1669,1.6,1781,1.7,1335,1.3,1602,1.6,2432,2.4,2232,2.2
07141,Rhein-Lahn-Kreis,Rheinland-Pfalz,07,123543,61376,62167,11236,4423,6813,9.1,7.2,11.0,27851.0,13305.0,13459.0,13907.0,21059.0,18405.0,1833,1.5,1623,1.3,1386,1.1,1674,1.4,2470,2.0,2250,1.8
07143,Westerwaldkreis,Rheinland-Pfalz,07,200302,99605,100697,24105,9475,14630,12.0,9.5,14.5,40718.0,21971.0,22383.0,23625.0,35463.0,28862.0,3286,1.6,4594,2.3,2997,1.5,3573,1.8,5378,2.7,4277,2.1
07211,Trier,Rheinland-Pfalz,07,114914,57510,57404,16208,6603,9605,14.1,11.5,16.7,19312.0,18406.0,21413.0,13347.0,15590.0,12863.0,1775,1.5,4910,4.3,2996,2.6,1686,1.5,2465,2.1,2376,2.1
07231,Bernkastel-Wittlich,Rheinland-Pfalz,07,111828,55763,56065,12100,4691,7409,10.8,8.4,13.2,24346.0,11891.0,12293.0,12907.0,19078.0,16952.0,1829,1.6,1979,1.8,1572,1.4,1815,1.6,2598,2.3,2307,2.1
07232,Eifelkreis Bitburg-Prüm,Rheinland-Pfalz,07,97180,48729,48451,9369,3607,5762,9.6,7.4,11.9,19453.0,11139.0,11497.0,10953.0,16774.0,14324.0,1502,1.5,1651,1.7,1121,1.2,1217,1.3,1950,2.0,1928,2.0
07233,Vulkaneifel,Rheinland-Pfalz,07,60794,30387,30407,6965,2762,4203,11.5,9.1,13.8,14181.0,6670.0,6267.0,6426.0,10306.0,9493.0,1046,1.7,1262,2.1,796,1.3,988,1.6,1492,2.5,1381,2.3
07235,Trier-Saarburg,Rheinland-Pfalz,07,147999,73248,74751,13630,5432,8198,9.2,7.4,11.0,28878.0,15888.0,16560.0,18200.0,26172.0,21715.0,1884,1.3,3417,2.3,1459,1.0,1664,1.1,2636,1.8,2570,1.7
07311,Frankenthal (Pfalz),Rheinland-Pfalz,07,48363,23482,24881,4111,1509,2602,8.5,6.4,10.5,10874.0,5130.0,6217.0,5701.0,7490.0,6460.0,489,1.0,670,1.4,649,1.3,649,1.3,907,1.9,747,1.5
07312,Kaiserslautern,Rheinland-Pfalz,07,98520,49508,49012,13576,5860,7716,13.8,11.8,15.7,19735.0,13701.0,15555.0,10513.0,14425.0,13020.0,1290,1.3,3396,3.4,2788,2.8,1720,1.7,2309,2.3,2073,2.1
07313,Landau in der Pfalz,Rheinland-Pfalz,07,45362,21495,23867,6595,2399,4196,14.5,11.2,17.6,8645.0,6584.0,6398.0,5170.0,7217.0,5738.0,725,1.6,1775,3.9,1173,2.6,787,1.7,1133,2.5,1002,2.2
07314,Ludwigshafen am Rhein,Rheinland-Pfalz,07,164718,81590,83128,16716,6700,10016,10.1,8.2,12.0,31994.0,18690.0,22838.0,20925.0,25825.0,20285.0,1619,1.0,4119,2.5,2603,1.6,2734,1.7,3241,2.0,2400,1.5
07315,Mainz,Rheinland-Pfalz,07,209779,101620,108159,27988,11453,16535,13.3,11.3,15.3,37072.0,27467.0,40417.0,26674.0,29242.0,23210.0,2587,1.2,7384,3.5,6372,3.0,3670,1.7,4493,2.1,3482,1.7
07316,"Neustadt an der Weinstraße,St.",Rheinland-Pfalz,07,52999,25714,27285,5526,1910,3616,10.4,7.4,13.3,12483.0,5449.0,6150.0,5605.0,8783.0,7890.0,794,1.5,883,1.7,723,1.4,770,1.5,1242,2.3,1114,2.1
07317,Pirmasens,Rheinland-Pfalz,07,40125,19453,20672,4495,1739,2756,11.2,8.9,13.3,10265.0,4121.0,4373.0,4095.0,6313.0,6219.0,603,1.5,879,2.2,599,1.5,607,1.5,931,2.3,876,2.2
07318,Speyer,Rheinland-Pfalz,07,50284,24245,26039,6658,2713,3945,13.2,11.2,15.2,10913.0,5131.0,5919.0,5974.0,8410.0,7296.0,778,1.5,1476,2.9,1060,2.1,931,1.9,1309,2.6,1104,2.2
07319,Worms,Rheinland-Pfalz,07,82102,40323,41779,7677,2822,4855,9.4,7.0,11.6,16404.0,9574.0,10545.0,10047.0,12726.0,11365.0,961,1.2,1349,1.6,1167,1.4,1235,1.5,1569,1.9,1396,1.7
07320,Zweibrücken,Rheinland-Pfalz,07,34260,16893,17367,3425,1267,2158,10.0,7.5,12.4,7750.0,3713.0,4470.0,3788.0,5180.0,5103.0,410,1.2,716,2.1,485,1.4,486,1.4,715,2.1,613,1.8
07331,Alzey-Worms,Rheinland-Pfalz,07,127274,63379,63895,11074,4198,6876,8.7,6.6,10.8,23840.0,14046.0,14128.0,15268.0,22576.0,19967.0,1546,1.2,1672,1.3,1424,1.1,1706,1.3,2583,2.0,2143,1.7
07332,Bad Dürkheim,Rheinland-Pfalz,07,132203,64778,67425,12396,4537,7859,9.4,7.0,11.7,30669.0,13298.0,12927.0,14544.0,23868.0,20612.0,1783,1.3,2136,1.6,1659,1.3,1791,1.4,2699,2.0,2328,1.8
07333,Donnersbergkreis,Rheinland-Pfalz,07,75230,37221,38009,6255,2457,3798,8.3,6.6,10.0,15245.0,8161.0,7875.0,8705.0,13144.0,12012.0,901,1.2,884,1.2,802,1.1,943,1.3,1416,1.9,1309,1.7
07334,Germersheim,Rheinland-Pfalz,07,127303,63377,63926,11537,4544,6993,9.1,7.2,10.9,23971.0,14481.0,15450.0,15595.0,21896.0,18514.0,1325,1.0,2054,1.6,1787,1.4,1995,1.6,2436,1.9,1939,1.5
07335,Kaiserslautern,Rheinland-Pfalz,07,104966,51600,53366,8011,3030,4981,7.6,5.9,9.3,21776.0,11473.0,11619.0,11770.0,17706.0,16457.0,1095,1.0,1170,1.1,1106,1.1,1214,1.2,1778,1.7,1648,1.6
07336,Kusel,Rheinland-Pfalz,07,70997,35214,35783,4937,1667,3270,7.0,4.7,9.1,15999.0,7423.0,7508.0,7483.0,12106.0,11883.0,669,0.9,695,1.0,530,0.7,686,1.0,1128,1.6,1229,1.7
07337,Südliche Weinstraße,Rheinland-Pfalz,07,110526,54637,55889,10263,3809,6454,9.3,7.0,11.5,24289.0,11649.0,11584.0,12271.0,19802.0,17022.0,1554,1.4,1609,1.5,1372,1.2,1494,1.4,2272,2.1,1962,1.8
07338,Rhein-Pfalz-Kreis,Rheinland-Pfalz,07,151546,74549,76997,13184,5301,7883,8.7,7.1,10.2,33551.0,15391.0,16137.0,17651.0,26713.0,22389.0,1395,0.9,1957,1.3,2397,1.6,2587,1.7,2877,1.9,1971,1.3
07339,Mainz-Bingen,Rheinland-Pfalz,07,208749,103161,105588,17801,6730,11071,8.5,6.5,10.5,40785.0,22517.0,22249.0,25816.0,37650.0,30306.0,2288,1.1,3423,1.6,2448,1.2,2646,1.3,3827,1.8,3169,1.5
07340,Südwestpfalz,Rheinland-Pfalz,07,96474,47711,48763,6122,2237,3885,6.3,4.7,8.0,22965.0,9817.0,9686.0,10205.0,17056.0,15819.0,961,1.0,955,1.0,694,0.7,807,0.8,1428,1.5,1277,1.3
